263644  , -192002     , array([ 0.471826   ,  0.0154651  ,  0.00167457 ,  0.000162903,  0.0893467  ])
263734  , -1638.27    , array([ 1.28429    ,  0.0702083  ,  6.1979e-28 ,  2.71531e-41,  0.024886   ])
263735  , -1633.49    , array([ 1.38419    ,  0.0691217  ,  5.59569e-28,  2.97224e-41,  0.0245684  ])
263736  , -1633.49    , array([ 1.38419    ,  0.0691217  ,  5.59569e-28,  2.97224e-41,  0.0245684  ])
263737  , -1633.47    , array([ 1.38557    ,  0.0691217  ,  5.59569e-28,  2.97224e-41,  0.0245684  ])
263738  , -1633.71    , array([ 1.38419    ,  0.0691908  ,  5.59569e-28,  2.97224e-41,  0.0245684  ])
263739  , -1633.49    , array([ 1.38419    ,  0.0691217  ,  5.60129e-28,  2.97224e-41,  0.0245684  ])
263740  , -1633.49    , array([ 1.38419    ,  0.0691217  ,  5.59569e-28,  2.97521e-41,  0.0245684  ])
263741  , -1633.3     , array([ 1.38419    ,  0.0691217  ,  5.59569e-28,  2.97224e-41,  0.024593   ])
263742  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263743  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263744  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263745  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263746  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90348e-41,  0.0243364  ])
263747  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
263748  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243607  ])
263749  , -1632.5     , array([ 1.44012    ,  0.0677456  ,  6.28909e-28,  4.2619e-41 ,  0.0242559  ])
263750  , -1632.5     , array([ 1.44012    ,  0.0677456  ,  6.28909e-28,  4.2619e-41 ,  0.0242559  ])
263751  , -1632.5     , array([ 1.44156    ,  0.0677456  ,  6.28909e-28,  4.2619e-41 ,  0.0242559  ])
263752  , -1632.51    , array([ 1.44012    ,  0.0678134  ,  6.28909e-28,  4.2619e-41 ,  0.0242559  ])
263753  , -1632.5     , array([ 1.44012    ,  0.0677456  ,  6.29538e-28,  4.2619e-41 ,  0.0242559  ])
263754  , -1632.5     , array([ 1.44012    ,  0.0677456  ,  6.28909e-28,  4.26617e-41,  0.0242559  ])
263755  , -1632.49    , array([ 1.44012    ,  0.0677456  ,  6.28909e-28,  4.2619e-41 ,  0.0242802  ])
263756  , -1632.44    , array([ 1.43614    ,  0.0680256  ,  6.10082e-28,  3.96022e-41,  0.0243232  ])
263757  , -1632.44    , array([ 1.43614    ,  0.0680256  ,  6.10082e-28,  3.96022e-41,  0.0243232  ])
263758  , -1632.44    , array([ 1.43758    ,  0.0680256  ,  6.10082e-28,  3.96022e-41,  0.0243232  ])
263759  , -1632.49    , array([ 1.43614    ,  0.0680937  ,  6.10082e-28,  3.96022e-41,  0.0243232  ])
263760  , -1632.44    , array([ 1.43614    ,  0.0680256  ,  6.10692e-28,  3.96022e-41,  0.0243232  ])
263761  , -1632.44    , array([ 1.43614    ,  0.0680256  ,  6.10082e-28,  3.96419e-41,  0.0243232  ])
263762  , -1632.4     , array([ 1.43614    ,  0.0680256  ,  6.10082e-28,  3.96022e-41,  0.0243475  ])
263763  , -1632.44    , array([ 1.43551    ,  0.06807    ,  6.07153e-28,  3.91446e-41,  0.0243338  ])
263764  , -1632.44    , array([ 1.43551    ,  0.06807    ,  6.07153e-28,  3.91446e-41,  0.0243338  ])
263765  , -1632.44    , array([ 1.43695    ,  0.06807    ,  6.07153e-28,  3.91446e-41,  0.0243338  ])
263766  , -1632.5     , array([ 1.43551    ,  0.0681381  ,  6.07153e-28,  3.91446e-41,  0.0243338  ])
263767  , -1632.44    , array([ 1.43551    ,  0.06807    ,  6.07761e-28,  3.91446e-41,  0.0243338  ])
263768  , -1632.44    , array([ 1.43551    ,  0.06807    ,  6.07153e-28,  3.91837e-41,  0.0243338  ])
263769  , -1632.39    , array([ 1.43551    ,  0.06807    ,  6.07153e-28,  3.91446e-41,  0.0243582  ])
263770  , -1632.44    , array([ 1.43539    ,  0.0680786  ,  6.06589e-28,  3.90568e-41,  0.0243359  ])
263771  , -1632.44    , array([ 1.43539    ,  0.0680786  ,  6.06589e-28,  3.90568e-41,  0.0243359  ])
263772  , -1632.44    , array([ 1.43683    ,  0.0680786  ,  6.06589e-28,  3.90568e-41,  0.0243359  ])
263773  , -1632.5     , array([ 1.43539    ,  0.0681467  ,  6.06589e-28,  3.90568e-41,  0.0243359  ])
263774  , -1632.44    , array([ 1.43539    ,  0.0680786  ,  6.07196e-28,  3.90568e-41,  0.0243359  ])
263775  , -1632.44    , array([ 1.43539    ,  0.0680786  ,  6.06589e-28,  3.90959e-41,  0.0243359  ])
263776  , -1632.39    , array([ 1.43539    ,  0.0680786  ,  6.06589e-28,  3.90568e-41,  0.0243602  ])
263777  , -1632.44    , array([ 1.43537    ,  0.0680803  ,  6.06477e-28,  3.90393e-41,  0.0243363  ])
263778  , -1632.44    , array([ 1.43537    ,  0.0680803  ,  6.06477e-28,  3.90393e-41,  0.0243363  ])
263779  , -1632.44    , array([ 1.4368     ,  0.0680803  ,  6.06477e-28,  3.90393e-41,  0.0243363  ])
263780  , -1632.5     , array([ 1.43537    ,  0.0681485  ,  6.06477e-28,  3.90393e-41,  0.0243363  ])
263781  , -1632.44    , array([ 1.43537    ,  0.0680803  ,  6.07083e-28,  3.90393e-41,  0.0243363  ])
263782  , -1632.44    , array([ 1.43537    ,  0.0680803  ,  6.06477e-28,  3.90783e-41,  0.0243363  ])
263783  , -1632.39    , array([ 1.43537    ,  0.0680803  ,  6.06477e-28,  3.90393e-41,  0.0243606  ])
263784  , -1632.44    , array([ 1.43536    ,  0.0680807  ,  6.06454e-28,  3.90357e-41,  0.0243364  ])
263785  , -1632.44    , array([ 1.43536    ,  0.0680807  ,  6.06454e-28,  3.90357e-41,  0.0243364  ])
263786  , -1632.44    , array([ 1.4368     ,  0.0680807  ,  6.06454e-28,  3.90357e-41,  0.0243364  ])
263787  , -1632.5     , array([ 1.43536    ,  0.0681488  ,  6.06454e-28,  3.90357e-41,  0.0243364  ])
263788  , -1632.44    , array([ 1.43536    ,  0.0680807  ,  6.07061e-28,  3.90357e-41,  0.0243364  ])
263789  , -1632.44    , array([ 1.43536    ,  0.0680807  ,  6.06454e-28,  3.90748e-41,  0.0243364  ])
263790  , -1632.39    , array([ 1.43536    ,  0.0680807  ,  6.06454e-28,  3.90357e-41,  0.0243607  ])
263791  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06449e-28,  3.9035e-41 ,  0.0243364  ])
263792  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06449e-28,  3.9035e-41 ,  0.0243364  ])
263793  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06449e-28,  3.9035e-41 ,  0.0243364  ])
263794  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06449e-28,  3.9035e-41 ,  0.0243364  ])
263795  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07056e-28,  3.9035e-41 ,  0.0243364  ])
263796  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06449e-28,  3.90741e-41,  0.0243364  ])
263797  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06449e-28,  3.9035e-41 ,  0.0243607  ])
263798  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90349e-41,  0.0243364  ])
263799  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90349e-41,  0.0243364  ])
263800  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90349e-41,  0.0243364  ])
263801  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90349e-41,  0.0243364  ])
263802  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90349e-41,  0.0243364  ])
263803  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
263804  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90349e-41,  0.0243607  ])
263805  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263806  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263807  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263808  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263809  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90348e-41,  0.0243364  ])
263810  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
263811  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243607  ])
263812  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263813  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263814  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263815  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263816  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90348e-41,  0.0243364  ])
263817  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
263818  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243607  ])
263819  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263820  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263821  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263822  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263823  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90348e-41,  0.0243364  ])
263824  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
263825  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243607  ])
263826  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263827  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263828  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263829  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263830  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90348e-41,  0.0243364  ])
263831  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
263832  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243607  ])
263833  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263834  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263835  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263836  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263837  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90348e-41,  0.0243364  ])
263838  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
263839  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243607  ])
263840  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263841  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263842  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263843  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263844  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90348e-41,  0.0243364  ])
263845  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
263846  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243607  ])
263847  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263848  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263849  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263850  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263851  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90348e-41,  0.0243364  ])
263852  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
263853  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243607  ])
263854  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263855  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263856  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263857  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263858  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90348e-41,  0.0243364  ])
263859  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
263860  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243607  ])
263861  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263862  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263863  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263864  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263865  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90348e-41,  0.0243364  ])
263866  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
263867  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243607  ])
263868  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263869  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263870  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263871  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263872  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90348e-41,  0.0243364  ])
263873  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
263874  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243607  ])
263875  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263876  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263877  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263878  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263879  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90348e-41,  0.0243364  ])
263880  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
263881  , -1632.39    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243607  ])
263882  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263883  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263884  , -1632.44    , array([ 1.4368     ,  0.0680808  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263885  , -1632.5     , array([ 1.43536    ,  0.0681489  ,  6.06448e-28,  3.90348e-41,  0.0243364  ])
263886  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.07055e-28,  3.90348e-41,  0.0243364  ])
263887  , -1632.44    , array([ 1.43536    ,  0.0680808  ,  6.06448e-28,  3.90739e-41,  0.0243364  ])
